"Pair_ID","Forward","Reverse","Distance","Coexpression_Coefficient","BH","DE_Forward","DE_Reverse","Count"
"Pair_889","TraesCS6B02G455100","TraesCS6B02G455000",338,0.46,0,"4v23 ","",0
"Pair_89","TraesCS1D02G055700","TraesCS1D02G055600",295,0.26,0,"4v23 ","",0
"Pair_890","TraesCS6D02G090000","TraesCS6D02G089900",158,0.5,0,"MS 4v23 ","4v23 DH ",4
"Pair_891","TraesCS6D02G117500","TraesCS6D02G117400",424,0.89,0,"4v23 ","",0
"Pair_892","TraesCS6D02G124300","TraesCS6D02G124200",376,0.05,0.113037224888111,"MS ","MS 4v23 DH ",3
"Pair_893","TraesCS6D02G140500","TraesCS6D02G140400",364,-0.08,0.01328242607634,"MS ","",0
"Pair_894","TraesCS6D02G141400","TraesCS6D02G141300",299,0.62,0,"4v23 ","4v23 DH ",2
"Pair_895","TraesCS6D02G150900","TraesCS6D02G150800",331,0.19,5.07564040098695e-09,"","",0
"Pair_896","TraesCS6D02G157000","TraesCS6D02G156900",458,0.6,0,"","MS 4v23 DH ",0
"Pair_897","TraesCS6D02G175300","TraesCS6D02G175100",694,0.04,0.216179932998938,"","",0
"Pair_898","TraesCS6D02G175900","TraesCS6D02G175800",364,-0.02,0.597830626492227,"","",0
"Pair_899","TraesCS6D02G176100","TraesCS6D02G176000",201,0,0.947592609240453,"","",0
"Pair_9","TraesCS1A02G098100","TraesCS1A02G098000",129,0.06,0.0771953339477128,"","",0
